Suffix,Laplace,Staircase,Our_bl_50_delta_5,LaplaceDelta5
0.1,0.42415923129718597,0.37577213452299246,0.5264241592312972,NA
0.2,0.3531228551818805,0.3321894303363075,0.4293067947838023,NA
0.5,0.3043925875085793,0.30507892930679475,0.32601235415236784,NA
1,0.2992450240219629,0.3006177076183939,0.31743308167467393,NA
2,0.30096087851750175,0.29993136582017843,0.3043925875085793,NA
3,0.29821551132463964,0.29958819492107064,0.2985586822237474,NA
4,0.3006177076183939,0.3016472203157172,0.303363074811256,NA
5,0.29958819492107064,0.301990391214825,0.30096087851750175,NA
